probe_id,gene_symbol,gene_name,entrez_id,ensembl_id
ILMN_1757132,SMC5,"Homo sapiens structural maintenance of chromosomes 5 (SMC5), mRNA.",,
ILMN_1797102,ST6GAL2,"Homo sapiens ST6 beta-galactosamide alpha-2,6-sialyltranferase 2 (ST6GAL2), mRNA.",,
ILMN_1734445,LOC91461,"Homo sapiens hypothetical protein BC007901 (LOC91461), mRNA.",,
ILMN_1778420,APOL2,"Homo sapiens apolipoprotein L, 2 (APOL2), transcript variant beta, mRNA.",,
ILMN_1692798,APOL2,"Homo sapiens apolipoprotein L, 2 (APOL2), transcript variant beta, mRNA.",,
ILMN_1662800,C14ORF48,"Homo sapiens chromosome 14 open reading frame 48 (C14orf48), mRNA.",,
ILMN_1685591,RFX3,"Homo sapiens regulatory factor X, 3 (influences HLA class II expression) (RFX3), transcript variant 1, mRNA.",,
ILMN_1680465,ARL5B,"Homo sapiens ADP-ribosylation factor-like 5B (ARL5B), mRNA.",,
ILMN_1730304,ALG10,"Homo sapiens asparagine-linked glycosylation 10 homolog (yeast, alpha-1,2-glucosyltransferase) (ALG10), mRNA.",,
ILMN_1815673,DKK3,"Homo sapiens dickkopf homolog 3 (Xenopus laevis) (DKK3), transcript variant 3, mRNA.",,
ILMN_1732193,CD44,"Homo sapiens CD44 molecule (Indian blood group) (CD44), transcript variant 1, mRNA.",,
ILMN_1771835,NUP54,"Homo sapiens nucleoporin 54kDa (NUP54), mRNA.",,
ILMN_1730706,FOSB,"Homo sapiens FBJ murine osteosarcoma viral oncogene homolog B (FOSB), mRNA.",,
ILMN_1667022,PASK,"Homo sapiens PAS domain containing serine/threonine kinase (PASK), mRNA.",,
ILMN_1809285,DCP1A,"Homo sapiens DCP1 decapping enzyme homolog A (S. cerevisiae) (DCP1A), mRNA.",,
ILMN_1807652,STRA6,"Homo sapiens stimulated by retinoic acid gene 6 homolog (mouse) (STRA6), mRNA.",,
ILMN_1810069,CCNYL1,"Homo sapiens cyclin Y-like 1 (CCNYL1), mRNA.",,
ILMN_1665463,ZNF678,"Homo sapiens zinc finger protein 678 (ZNF678), mRNA.",,
ILMN_1679782,BLOC1S2,"Homo sapiens biogenesis of lysosome-related organelles complex-1, subunit 2 (BLOC1S2), transcript variant 2, mRNA.",,
ILMN_1755620,IER5L,"Homo sapiens immediate early response 5-like (IER5L), mRNA.",,
ILMN_1733402,CSF1,"Homo sapiens colony stimulating factor 1 (macrophage) (CSF1), transcript variant 2, mRNA.",,
